Age,Default,Housing,Loan,Target
58,no,yes,no,no
44,no,yes,no,no
33,no,yes,yes,no
47,no,yes,no,no
33,no,no,no,no
35,no,yes,no,no
28,no,yes,yes,no
42,yes,yes,no,no
58,no,yes,no,no
43,no,yes,no,no
41,no,yes,no,no
29,no,yes,no,no
53,no,yes,no,no
58,no,yes,no,no
57,no,yes,no,no
51,no,yes,no,no
45,no,yes,no,no
57,no,yes,no,no
60,no,yes,no,no
33,no,yes,no,no
28,no,yes,yes,no
56,no,yes,no,no
32,no,yes,yes,no
25,no,yes,no,no
40,no,yes,yes,no
44,no,yes,no,no
39,no,yes,no,no
52,no,yes,yes,no
46,no,yes,no,no
36,no,yes,yes,no
57,no,no,yes,no
49,no,yes,no,no
60,no,yes,yes,no
59,no,yes,no,no
51,no,yes,no,no
57,no,yes,no,no
25,no,yes,no,no
53,no,no,no,no
36,no,yes,no,no
37,no,yes,no,no
44,no,yes,no,no
50,no,yes,no,no
60,no,yes,no,no
54,no,yes,no,no
58,no,yes,no,no
36,no,yes,no,no
58,no,yes,no,no
44,no,yes,no,no
55,no,no,no,no
29,no,yes,no,no
54,no,yes,no,no
48,no,yes,no,no
32,no,yes,no,no
42,no,yes,no,no
24,no,yes,yes,no
38,no,no,yes,no
38,no,yes,no,no
47,no,yes,no,no
40,no,yes,no,no
46,no,yes,no,no
32,no,yes,no,no
53,no,yes,no,no
57,no,yes,no,no
33,no,yes,no,no
49,no,yes,no,no
51,no,yes,no,no
60,no,no,no,no
59,no,yes,no,no
55,no,yes,no,no
35,no,yes,yes,no
57,no,yes,yes,no
31,no,yes,yes,no
54,no,yes,yes,no
55,no,yes,no,no
43,no,yes,no,no
53,no,yes,no,no
44,no,no,yes,no
55,no,no,no,no
49,no,yes,yes,no
55,yes,yes,no,no
45,no,yes,no,no
47,no,no,no,no
42,no,yes,no,no
59,no,yes,no,yes
46,no,yes,yes,no
51,no,yes,no,no
56,no,no,no,yes
41,no,yes,no,yes
46,no,yes,yes,no
57,no,yes,no,no
42,no,no,no,no
30,no,yes,yes,no
60,no,yes,no,no
60,no,yes,no,no
57,no,no,no,no
36,no,yes,yes,no
55,no,no,no,no
60,no,yes,no,no
39,no,yes,no,no
46,no,yes,no,no
44,no,yes,no,no
53,no,no,no,no
52,no,yes,no,no
59,no,yes,no,no
27,no,yes,no,no
44,no,yes,no,no
47,no,yes,no,no
34,no,no,yes,no
59,no,yes,no,no
45,no,yes,no,no
29,no,yes,no,no
46,no,no,no,no
56,no,yes,yes,no
36,no,yes,no,no
59,no,yes,no,no
44,no,yes,no,no
41,no,yes,no,no
33,no,yes,no,no
59,no,no,no,no
57,no,no,no,no
56,no,yes,no,no
51,no,yes,no,no
34,no,yes,no,no
43,no,yes,yes,no
52,no,no,yes,no
33,no,yes,no,no
29,no,yes,yes,no
34,no,yes,yes,no
31,no,yes,no,no
55,no,yes,no,yes
55,no,no,no,no
